time,square,percentage
0.04,3435.0,0.0
0.08,3455.0,0.6964894564894601
0.12,3414.5,0.77594297594298
0.17,3430.5,0.8542916542916588
0.21,3401.0,0.9311048411048461
0.25,3399.0,1.00478764478765
0.29,3502.0,1.0746658746658806
0.33,3411.0,1.1407662607662667
0.37,3468.5,1.2018414018414083
0.41,3433.0,1.2571072171072237
0.46,3431.5,1.3057796257796328
0.5,3443.5,1.3474279774279847
0.54,3450.0,1.3670270270270344
0.58,3462.0,1.3689129789129861
0.62,3421.5,1.214799524799531
0.66,3465.5,1.0529432729432782
0.7,3418.0,0.8958568458568498
0.75,3453.0,0.7614166914166945
0.79,3453.0,0.6525393525393548
0.83,3412.0,0.6254321354321372
0.87,3463.0,0.7322572022572044
0.91,3460.0,0.8544371844371872
0.95,3429.5,1.0683486783486822
1.0,3449.0,1.3545648945649
1.04,3486.0,1.7298425898425973
1.08,3443.0,2.1519602019602115
1.12,3447.0,2.5335491535491657
1.16,3453.0,2.961306801306815
1.2,3451.0,3.4716661716661887
1.24,3434.5,4.045506385506406
1.29,4460.0,4.719524799524822
1.33,5396.0,5.46230769230772
1.37,16770.0,6.196673596673628
1.41,20451.0,6.9188624888625245
1.45,23978.0,7.665378675378713
1.49,26882.0,8.276248886248931
1.53,30030.5,8.971271161271208
1.58,29470.5,9.670071280071332
1.62,28916.5,10.293611523611577
1.66,33020.5,10.916866646866705
1.7,32359.0,11.41112860112866
1.74,32351.0,11.878232848232908
1.78,30654.0,12.28424710424717
1.82,31220.0,12.592824472824539
1.87,37739.0,12.839643599643669
1.91,39500.0,13.044555984556055
1.95,38335.0,13.179453519453588
1.99,37713.0,13.205622215622283
2.03,33625.0,13.12388476388483
2.07,30082.5,12.979070389070454
2.11,30676.5,12.807032967033033
2.16,31243.0,12.731969111969176
2.2,28890.5,12.672554202554268
2.24,37175.0,12.632488862488927
2.28,31233.0,12.655622215622282
2.32,28885.0,12.708500148500214
2.36,31211.0,12.701559251559315
2.4,28325.0,12.725883575883639
2.45,33613.0,12.79591921591928
2.49,32456.0,12.882197802197869
2.53,33035.0,13.007653697653764
2.57,35983.0,13.070089100089165
